# log_X log_likelihood tiebreaker accepts tries exceeds visits
-1.887367309313970054e+01 -1.034887812361886259e+06 4.057198422000563576e-01 19706 53672 23555 9511
-1.998269618130716552e+01 -8.583979847525991499e+05 4.082516476329152155e-01 18218 50358 21964 2601
-2.107101419034718148e+01 -7.194855465511207003e+05 9.301158513657443727e-01 17108 48308 22537 64503
-2.210531310286168605e+01 -6.190038539789594943e+05 1.524845664822598867e-01 17005 48657 22337 65467
-2.315546094069252092e+01 -5.292225488608308369e+05 9.384207671026387754e-01 15795 46389 23460 62968
-2.414700863776719331e+01 -4.582275389609768754e+05 8.239584764292120500e-01 16253 47956 25696 70
-2.510429462721266347e+01 -4.015366743638159242e+05 5.249305354488417175e-01 17517 52125 29122 6530
-2.603810043233038130e+01 -3.531501948604774079e+05 5.990618744170934651e-01 17964 54220 34069 12052
-2.690922917474003384e+01 -3.166168716206906829e+05 8.502060367071599956e-01 19212 58613 28610 21385
-2.798956678341351534e+01 -2.742370469313891954e+05 4.552115629158204335e-01 17724 55920 27991 13131
-2.901323386933003334e+01 -2.422714066110695712e+05 5.313393173069840686e-02 17770 56160 28175 12853
-3.002974423069911225e+01 -2.161696552022466494e+05 8.127090994418844083e-01 17530 56731 23783 13649
-3.117036812146477942e+01 -1.895744398394413292e+05 2.392189792274468374e-01 15920 52047 17946 4596
-3.240585877764397083e+01 -1.651646308591941488e+05 4.001636481360968389e-01 13034 43334 24308 55499
-3.329127570100347100e+01 -1.510162558570959663e+05 3.283256383087401753e-01 14335 48119 24704 1118
-3.428621673876279630e+01 -1.365674068219080218e+05 9.379002418682655939e-01 14076 47928 21423 1342
-3.537806766228116118e+01 -1.219650685837699857e+05 4.673946853287255232e-01 13403 46219 25528 61857
-3.630054239812367456e+01 -1.116591456592749746e+05 8.440507250358972868e-01 14470 50886 24902 5188
-3.733062863199867820e+01 -1.013591971547957946e+05 3.743084235033524720e-01 13855 49260 23658 2833
-3.837207846862439453e+01 -9.228885721409416874e+04 2.254224157417275554e-01 13418 48019 23411 330
-3.939520095922507181e+01 -8.409287546296349319e+04 1.536352342674213722e-01 13132 46954 22455 64612
-4.043303581353504939e+01 -7.653859556708617311e+04 5.637212467938255145e-01 12892 47008 20116 63772
-4.153318763220512722e+01 -6.950514219980605412e+04 2.961466020513920869e-02 12084 44372 22073 58707
-4.251896784683280117e+01 -6.399675298688847397e+04 9.467492541758736058e-02 12830 46270 24874 62542
-4.346649947434389816e+01 -5.882875990307432221e+04 2.547450081591560306e-02 13468 49418 23266 3060
-4.452138671405349868e+01 -5.382294549524190370e+04 8.956663941952167640e-01 12163 45210 23491 62802
-4.551029495202041630e+01 -4.965426837145796162e+04 8.391002532515349221e-01 12057 44919 23672 62642
-4.649236734101634738e+01 -4.589851112960567843e+04 4.761783063129598759e-01 12551 46516 24379 64458
-4.747369397863242568e+01 -4.233377999552400433e+04 2.017785837807083982e-01 13426 51035 24033 4130
-4.851746172236614285e+01 -3.876279465030320716e+04 1.885870415013282120e-01 13819 52667 23079 5364
-4.960045127262217335e+01 -3.550482365878165001e+04 8.143971145296333702e-01 12792 49167 24745 933
-5.059238039501938289e+01 -3.284869525301508838e+04 1.972587341126373073e-01 13057 50899 17766 4415
-5.183219464000629273e+01 -2.982272736372721556e+04 9.082576449443621747e-02 10633 41698 18670 53783
-5.286834980785434368e+01 -2.759737526217611594e+04 5.109701327619660116e-01 10047 40622 17856 53554
-5.392904936145427541e+01 -2.547618207115168843e+04 4.733315001412954359e-01 9258 36971 16018 49083
-5.500018497239698689e+01 -2.362168144291017234e+04 7.088169911072101925e-01 8795 36151 19694 46478
-5.591369201227774965e+01 -2.239899478250107495e+04 6.913860560102625952e-01 9708 39864 23913 53728
-5.678962247480508552e+01 -2.133253805274422484e+04 4.698771125576621799e-01 10827 44531 25670 62670
-5.771694282936228149e+01 -2.021115367288786365e+04 5.839546704650246944e-01 10683 45764 24998 187
