# level_assignment log_likelihood tiebreaker ID
0 -1.000000000000000053e+300 1.919692757574226888e-02 4
1 -2.361746630671060681e+08 9.903490510460789542e-01 3
5 -2.787349814385527372e+07 8.954030372038559449e-01 0
2 -1.312893024906260818e+08 1.566574937439515480e-01 3
4 -7.926015544132407010e+07 3.745494283170054395e-01 1
2 -7.276957570030574501e+07 5.338304776930362650e-01 2
6 -3.644953799520081282e+07 3.230580589569775896e-01 3
4 -6.561118144620262086e+07 5.085841795141406996e-01 2
6 -5.851448679621800035e+07 6.760230513773182182e-01 3
4 -4.452470842938354611e+07 5.639255073904159143e-02 0
3 -1.032102485032846928e+08 4.337942435086613591e-01 2
4 -8.129081486877560616e+07 6.496777792447199218e-01 2
3 -1.052864359251223952e+08 5.662460133047839128e-02 4
3 -1.396847336378879547e+08 3.996606438805513917e-02 1
6 -6.906561984239819646e+07 7.449018481590216068e-01 0
1 -3.089565199160397053e+08 2.946148752053789899e-01 3
3 -1.335985603542028964e+08 5.028480338560816776e-01 1
5 -5.100641390266925842e+07 1.020345690371924491e-01 3
5 -7.240232218194110692e+07 7.020883568792850582e-01 3
6 -1.804132482431524992e+07 2.437196579761944371e-01 0
3 -1.147568855100145787e+08 3.751584079141769834e-01 4
7 -3.131212822253514454e+07 7.396238294643637801e-01 1
7 -3.054413233112582937e+07 7.342892930588167388e-01 1
7 -2.149809338609303907e+07 6.981779630708588869e-01 1
7 -2.113937872209876776e+07 7.646563480799618562e-01 2
4 -1.061647051253962517e+08 6.944038736031643566e-01 3
5 -9.203828331870099902e+07 4.601879057458058142e-01 3
6 -3.720840704009159654e+07 5.995385393779333744e-02 0
5 -7.640217563071690500e+07 1.111963287807336137e-01 0
3 -1.065235553202430904e+08 4.963808896620900413e-01 1
3 -1.553824516098891199e+08 9.498930088044998943e-01 3
6 -6.296332014192327112e+07 6.803611893169687619e-01 2
0 -2.724372790804898143e+08 4.061204782969943805e-01 3
2 -2.027768925757616162e+08 5.061798193141741065e-01 1
0 -4.536170805296587944e+09 6.259750372403530272e-02 1
5 -8.944539096455761790e+07 5.576470687778876112e-01 1
0 -1.266521274561568648e+08 5.079878473323162780e-01 4
8 -1.700568534233248606e+07 1.839258216602383256e-01 2
2 -1.841423143447788358e+08 5.659648055817605439e-01 1
1 -1.080241284887726605e+08 8.699569393661787942e-03 1
7 -1.626866947878827527e+07 6.876414387833498232e-01 2
4 -4.959822908334514499e+07 3.139359002323203196e-01 0
1 -1.000000000000000053e+300 8.376937105072310707e-01 3
4 -1.230560693925790042e+08 3.212031368110187524e-01 4
1 -1.953305852608639598e+08 1.091820047083604805e-01 4
6 -4.198268720935797691e+07 1.913551025159199170e-01 0
7 -9.566815306476881728e+06 6.457671658083878885e-01 3
8 -6.943387225051344372e+06 6.954983437747082053e-01 0
7 -1.200404465524972044e+07 6.641819599031246746e-01 1
8 -1.005585492747346684e+07 6.013958111623526337e-01 3
7 -8.562846266825418919e+06 9.963562307359090653e-01 0
6 -2.692599678960418329e+07 5.655807365793551478e-01 0
8 -1.064143169541581161e+07 7.085393865454909790e-01 1
6 -2.816108508959826827e+07 7.780117597294307075e-01 0
6 -5.351586731160815805e+07 5.527933321051214932e-01 3
6 -6.290729624362400919e+07 7.848514402044833860e-01 3
5 -7.864154785304255784e+07 6.215318006783610016e-01 0
2 -6.977091783961908519e+07 6.215819907504669395e-01 4
2 -2.269345938027971983e+08 4.392288120701312026e-01 1
3 -1.401390061571982801e+08 6.491245079438807686e-01 4
1 -1.000000000000000053e+300 8.149172780044505737e-01 1
3 -1.493016315383898020e+08 9.321259394350171756e-02 1
5 -1.466268094388102554e+07 2.402459045823314154e-01 1
7 -2.603135144526043534e+07 7.122472650759965607e-01 0
7 -1.977381115517801419e+07 6.237538476601045545e-01 1
7 -2.964215822754052281e+07 8.713227372490197631e-01 3
1 -3.098138802032024860e+08 8.886018748318673666e-01 4
0 -1.000000000000000053e+300 6.581975808864169997e-01 1
1 -1.890375540188612938e+08 6.776598394824051574e-02 1
3 -1.376493634717395008e+08 7.573142610110794593e-01 0
7 -2.000127370969273150e+07 6.401964852848989196e-01 3
9 -8.260474441099855117e+06 8.153077562945947321e-01 3
3 -1.070533226513497680e+08 6.882888223046297327e-01 4
2 -1.725073100234393477e+08 6.279010952416383962e-01 1
7 -1.624330176376605779e+07 5.632910244208586548e-01 3
4 -7.953995850653275847e+07 5.126800386855777658e-01 2
3 -1.367624346497139931e+08 3.400409562831279153e-01 1
0 -1.000000000000000053e+300 9.754050865552665872e-01 4
8 -4.872312509089633822e+06 1.307786169139572574e-01 3
1 -1.942594869281692505e+08 8.577884765425025648e-02 4
4 -1.156738898935344964e+08 1.439971273858109413e-01 4
0 -1.000000000000000053e+300 3.774228750627850459e-02 1
1 -1.000000000000000053e+300 9.021679489372352867e-01 1
7 -2.506068069201438874e+07 9.346250933499512525e-01 2
3 -1.490390813432195783e+08 4.343516317006868022e-02 4
0 -1.000000000000000053e+300 5.830439739049979586e-01 1
5 -8.913844790206103027e+07 6.955705887525663877e-01 1
2 -1.592781012736606002e+08 6.460924836477044408e-01 0
3 -1.345449244800393283e+08 8.490170506724040722e-01 1
1 -1.259539480077629387e+08 5.015374753172566896e-02 0
7 -8.730584527379382402e+06 8.717568846415320039e-01 2
4 -8.074787587237259746e+07 4.785116965518074195e-01 1
3 -1.057876405911123753e+08 1.890856944734594369e-01 4
9 -9.072970944690354168e+06 4.660287480995832787e-01 2
6 -4.233460066115525365e+07 1.197804271037351126e-01 3
8 -1.303467286197032966e+07 4.720198242896744834e-01 2
1 -2.308197142848708332e+08 1.088041613827028797e-01 1
3 -1.453927435755283833e+08 9.119540163229535867e-01 0
9 -4.735180230150051415e+06 6.354698223878740837e-01 3
8 -1.130036542564361915e+07 5.571443642096467475e-01 3
10 -3.831867430410227738e+06 4.881790400002634644e-01 2
9 -9.409215929127249867e+06 5.976277178034272719e-01 3
0 -1.778776408123134971e+08 5.550042978112434966e-01 4
7 -2.338518991721483693e+07 2.736595231688898622e-01 3
9 -4.837213175223058090e+06 8.271332024021705864e-01 4
2 -2.070988254314307570e+08 3.933554381418835622e-01 0
2 -1.586941763739280999e+08 2.637436844136568925e-02 0
4 -4.305403721197423339e+07 4.543348983051732626e-01 4
7 -9.432422793615149334e+06 8.236453380946624492e-01 3
1 -1.000000000000000053e+300 8.795102546425981327e-01 0
0 -1.000000000000000053e+300 3.580744295949359612e-01 0
8 -1.022966648866055161e+07 1.188940593976815611e-02 2
0 -1.000000000000000053e+300 9.982089949940556872e-01 0
10 -5.554179121951970272e+06 3.497807409467809103e-01 3
3 -1.180388975712765455e+08 8.493564326692301103e-01 1
5 -9.155539042956724763e+07 5.184691549790265697e-01 1
10 -3.920781066260816064e+06 6.871567586654365734e-01 3
1 -2.583707995011018813e+08 1.608548168015927204e-01 1
7 -1.977360550383538753e+07 8.150299681123309714e-01 2
8 -1.363736736181953177e+07 8.983774847376099215e-01 2
4 -8.733551410732656717e+07 8.825220455539115605e-01 1
4 -1.077872466515917778e+08 5.619859974418376369e-01 1
1 -1.000000000000000053e+300 8.487396877079713686e-01 0
1 -1.679179650212532878e+08 9.575336780621512833e-02 1
0 -1.000000000000000053e+300 9.018471819136547607e-01 0
1 -2.260588532649414539e+08 3.616857194873457360e-01 0
6 -4.715087066077533364e+07 2.116739966380698224e-01 1
0 -1.000000000000000053e+300 5.065269035739873305e-01 3
11 -4.513010671281401068e+06 6.642079731549598298e-01 4
5 -7.143798288663409650e+07 7.116647125532160612e-01 3
4 -7.666299991603335738e+07 3.583041295406527715e-02 1
4 -6.841281818897216022e+07 6.504543493819573419e-01 3
6 -6.805092267241622508e+07 5.417731014080828800e-03 3
3 -1.075658961758608222e+08 4.954139835532054281e-01 2
7 -2.067903693733271584e+07 5.882975556489842273e-01 4
4 -1.031451570113756657e+08 6.788332430456406330e-01 2
2 -1.579579335032890439e+08 3.745699777139601672e-01 2
2 -1.944121937106916308e+08 4.846649493568742639e-01 0
8 -1.061836872051338851e+07 8.313382507696586154e-01 4
10 -4.318086330839289352e+06 4.331967991316432176e-01 4
4 -8.992604672129514813e+07 7.125169743229635699e-01 1
2 -1.507319154874532223e+08 7.228809045827820912e-01 2
2 -1.282584975175199211e+08 2.255020277585545463e-01 1
2 -2.058550039448117018e+08 7.977420666519909886e-01 0
0 -1.000000000000000053e+300 3.520932822614819546e-01 0
2 -2.166606926290869415e+08 5.874869218185267972e-01 1
2 -1.317771259765268713e+08 4.464312775811502543e-01 4
4 -1.075529948970915079e+08 3.758343455679190037e-01 2
4 -1.206661122157064825e+08 9.425224073463803753e-01 4
7 -2.413171212891393155e+07 8.604737792317815881e-01 3
7 -7.772068064896350726e+06 2.148719456104926928e-01 0
4 -1.090669818103076965e+08 7.292119318120833249e-01 2
5 -6.818063051639045775e+07 1.515061477881763374e-01 3
5 -5.165247783324040473e+07 8.933737613304919556e-01 1
10 -4.475110037921871059e+06 2.751868804182725503e-01 3
4 -1.085862922708732337e+08 4.286849302872395850e-01 1
9 -8.925400588837631047e+06 1.466944180361754446e-01 0
3 -1.083873865348212048e+07 6.810582979034116580e-01 2
10 -6.711469109493534081e+06 2.505259771698463700e-01 0
7 -1.242373942343935184e+07 2.147899986385152227e-01 0
11 -5.319514689237535000e+06 8.901136520653292195e-01 4
11 -5.367260615514580160e+06 7.656679583006407164e-01 2
9 -7.753743415089188144e+06 6.055201738473090511e-01 0
6 -6.742826002394124866e+07 9.425061961506504549e-01 1
10 -6.369866444449143484e+06 6.813883413857135807e-01 4
11 -4.323805959599830210e+06 6.041722397242033082e-02 2
12 -3.648353812770199496e+06 9.929995985900286204e-01 0
1 -2.404811883403495252e+08 7.270061402056389177e-01 1
9 -7.406136241879901849e+06 7.241701126307653613e-01 4
7 -2.963535491087661311e+07 2.607857842724001785e-01 3
10 -6.381618981035396457e+06 4.900863528430416949e-01 0
1 -1.000000000000000053e+300 8.505851496541281254e-01 1
9 -9.830994474684705958e+06 9.230739004356558475e-01 0
1 -3.149781638260849118e+08 7.747123693720918691e-01 1
9 -1.138189678201306611e+07 7.938756236056352389e-01 4
10 -7.173036734775046818e+06 4.844836304537631921e-01 0
6 -6.333296231186067313e+07 9.398179672138555762e-01 1
8 -1.079955896491416171e+07 8.298989110297294580e-02 0
10 -3.558195038826841861e+06 9.397244317875671493e-01 3
12 -3.000607033639209811e+06 8.809749398687551913e-01 4
10 -5.776098782607118599e+06 1.937723574935574788e-01 2
9 -1.030685920047785714e+07 6.586276889806708112e-02 2
6 -5.905032518366190791e+07 3.088469520995307804e-01 2
3 -5.348867692063467950e+07 8.569671104562779362e-01 0
11 -5.077928053511930630e+06 3.271358421488762547e-01 4
4 -8.386469112644648552e+07 5.924914076875076319e-02 3
5 -5.559357899864735454e+07 3.731607325381174345e-01 0
10 -3.234328506598307285e+06 7.589502308854501056e-01 1
6 -2.439269328709091619e+07 9.391613983996907056e-01 0
4 -1.012756209659546465e+08 2.831338934267968455e-02 2
0 -1.000000000000000053e+300 6.130091689929155763e-01 3
1 -1.000000000000000053e+300 9.813821190745936063e-01 3
3 -9.866483995306897163e+07 9.994015815262733415e-01 0
8 -1.107055321305254847e+07 1.985426078810824113e-01 4
5 -7.819247914344021678e+07 4.975704623464654031e-01 3
7 -2.254376434828406572e+07 2.769052127236822369e-01 0
3 -9.166369576561591029e+07 3.521681965635145017e-01 2
4 -1.071893291392844170e+08 3.222604011643374067e-01 3
8 -8.365549894625121728e+06 4.032646362967746145e-01 1
9 -1.029040595349108055e+07 4.457303467409967634e-01 1
6 -6.972690717508268356e+07 3.507202397208730726e-01 2
6 -5.085398252095457911e+07 9.117613205669994336e-02 1
12 -4.174743903439966496e+06 6.997158829039804573e-01 4
3 -1.562682805275220871e+08 3.066712732035981048e-02 3
11 -3.319754060866598040e+06 7.318634385763522765e-01 4
2 -1.620653574881663322e+08 7.402995225751577424e-01 0
9 -9.422723558309026062e+06 9.197841607610168779e-01 4
5 -6.744687026590830088e+07 1.422266064950147568e-01 3
7 -2.891391421447856352e+07 7.330448828732005762e-01 1
11 -5.150879854814750142e+06 8.246947531743852311e-01 4
8 -1.559085704073880054e+07 6.606344906194031585e-01 2
8 -1.203390999984069169e+07 5.918108352372697389e-01 4
5 -3.432194516205734015e+07 3.826740346040634067e-01 1
12 -2.026395514897290850e+06 1.141367905087966594e-01 2
11 -5.042072272290820256e+06 1.090557158010746902e-01 3
13 -3.081388030863167252e+06 7.577624814444632317e-01 2
12 -3.825695386423960328e+06 1.596264465266162558e-01 4
10 -5.050598175154368393e+06 5.103659278720799053e-01 3
3 -1.512744491281082034e+08 7.568086439405296018e-01 0
13 -2.830353456805870403e+06 9.557208519711162253e-01 3
12 -3.927658355269380379e+06 3.920107360998543733e-01 1
2 -1.577748195583003461e+08 5.196826496020628960e-01 0
13 -3.212656166813578457e+06 3.059560469088573598e-01 1
4 -1.218120134541876316e+08 7.897056621269604726e-01 0
9 -3.876063391418586485e+06 2.284005260988598573e-01 4
13 -3.134597982341954485e+06 4.894039443348847662e-01 2
12 -3.974682856095580850e+06 7.382815750523188392e-01 4
8 -1.300198148684953153e+07 6.675812937949845427e-01 2
7 -3.023081610538577661e+07 2.383076126480756507e-01 2
9 -9.390041193290639669e+06 4.843070942875908891e-01 3
